name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/10000/repeats:20_mean",20,0.00260426,0.00260431,s,,,,,
"bench/10000/repeats:20_median",20,0.0025986,0.00259869,s,,,,,
"bench/10000/repeats:20_stddev",20,1.64199e-05,1.64284e-05,s,,,,,
"bench/10000/repeats:20_cv",20,0.00031525,0.000315408,s,,,,,
"bench/20000/repeats:20_mean",20,0.0135824,0.0135825,s,,,,,
"bench/20000/repeats:20_median",20,0.0135474,0.0135474,s,,,,,
"bench/20000/repeats:20_stddev",20,0.000121125,0.000121046,s,,,,,
"bench/20000/repeats:20_cv",20,0.00044589,0.000445598,s,,,,,
"bench/40000/repeats:20_mean",20,0.0499658,0.0499658,s,,,,,
"bench/40000/repeats:20_median",20,0.0499635,0.0499635,s,,,,,
"bench/40000/repeats:20_stddev",20,0.000379996,0.000379527,s,,,,,
"bench/40000/repeats:20_cv",20,0.000380256,0.000379787,s,,,,,
"bench/80000/repeats:20_mean",20,0.192523,0.192525,s,,,,,
"bench/80000/repeats:20_median",20,0.192015,0.192017,s,,,,,
"bench/80000/repeats:20_stddev",20,0.00327091,0.00326942,s,,,,,
"bench/80000/repeats:20_cv",20,0.000849483,0.000849089,s,,,,,
"bench/160000/repeats:20_mean",20,0.994228,0.994221,s,,,,,
"bench/160000/repeats:20_median",20,0.997068,0.997064,s,,,,,
"bench/160000/repeats:20_stddev",20,0.0172886,0.0172913,s,,,,,
"bench/160000/repeats:20_cv",20,0.00086945,0.00086959,s,,,,,

name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/10000/repeats:100_mean",100,0.00258858,0.00258845,s,,,,,
"bench/10000/repeats:100_median",100,0.00258759,0.00258749,s,,,,,
"bench/10000/repeats:100_stddev",100,2.51393e-05,2.51111e-05,s,,,,,
"bench/10000/repeats:100_cv",100,9.7116e-05,9.70119e-05,s,,,,,
"bench/20000/repeats:100_mean",100,0.00487468,0.00487444,s,,,,,
"bench/20000/repeats:100_median",100,0.00488089,0.00488088,s,,,,,
"bench/20000/repeats:100_stddev",100,4.66997e-05,4.67704e-05,s,,,,,
"bench/20000/repeats:100_cv",100,9.58006e-05,9.59503e-05,s,,,,,
"bench/40000/repeats:100_mean",100,0.00914426,0.00914385,s,,,,,
"bench/40000/repeats:100_median",100,0.00913645,0.00913616,s,,,,,
"bench/40000/repeats:100_stddev",100,7.15389e-05,7.15851e-05,s,,,,,
"bench/40000/repeats:100_cv",100,7.82337e-05,7.82877e-05,s,,,,,
"bench/80000/repeats:100_mean",100,0.0176758,0.0176751,s,,,,,
"bench/80000/repeats:100_median",100,0.0176441,0.0176434,s,,,,,
